Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Madagascar,Africa,68436,247,0,0,0,1426,5,0,0,0
Aruba,Americas,44224,41421,0,0,0,292,273,0,0,0
Anguilla,Americas,3904,26023,0,0,0,12,80,0,0,0
Iceland,Europe,209503,57535,0,0,0,186,51,0,0,0
South Sudan,Africa,18819,168,0,0,0,147,1,0,0,0
Nicaragua,Americas,16088,243,0,0,0,245,4,0,0,0
Greenland,Europe,11971,21086,0,0,0,21,37,0,0,0
Cuba,Americas,1115043,9844,0,0,0,8530,75,0,0,0
Croatia,Europe,1279927,31540,0,0,0,18489,456,0,0,0
Barbados,Americas,110141,38327,0,0,0,593,206,0,0,0
Panama,Americas,1041924,24148,0,0,0,8652,201,0,0,0
Côte d'Ivoire,Africa,88380,335,0,0,0,835,3,0,0,0
Palau,Western Pacific,6249,34540,0,0,0,9,50,0,0,0
Seychelles,Africa,51220,52081,0,0,0,172,175,0,0,0
Israel,Europe,4841772,55938,0,0,0,12707,147,0,0,0
Denmark,Europe,3423176,58790,0,0,0,8929,153,0,0,0
Botswana,Africa,330413,14050,0,0,0,2800,119,0,0,0
Mauritius,Africa,318191,25020,0,0,0,1057,83,0,0,0
Tuvalu,Western Pacific,2943,24958,0,0,0,1,8,0,0,0
Serbia,Europe,2583470,37297,0,0,0,18057,261,0,0,0
Liechtenstein,,21557,55635,-4,-10,-4,87,225,0,0,0
Gambia,Africa,12626,522,0,0,0,372,15,0,0,0
Liberia,Africa,7930,157,0,0,0,294,6,0,0,0
Burundi,Africa,54419,458,0,0,0,15,0,0,0,0
Guernsey,,35326,54796,0,0,0,67,104,0,0,0
Benin,Africa,28036,231,0,0,0,163,1,0,0,0
Congo,Africa,25213,457,0,0,0,389,7,0,0,0
Saint Helena,,2166,35678,0,0,0,0,0,0,0,0
Jersey,,66391,61589,0,0,0,161,149,0,0,0
Togo,Africa,39527,477,0,0,0,290,4,0,0,0
Mali,Africa,33162,164,0,0,0,743,4,0,0,0
Niger,Africa,9515,39,0,0,0,315,1,0,0,0
Chad,Africa,7698,47,0,0,0,194,1,0,0,0
Holy See,,26,3214,0,0,0,0,0,0,0,0
